atom_id,atom_category,atom_type,primary_value,attributes_json,tags_json,source_dataset_id,source_row_id,source_line_no
ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_GOAL,rule,expand_policy_profile,AP_PROJECT_GOAL,"{""default_action"": ""ask"", ""default_value"": """", ""domain_type"": ""project_spec"", ""missing_input_type"": ""goal"", ""notes_raw"": ""\""Ask for 1-sentence goal. tags:project,goal\"""", ""policy_id"": ""AP_PROJECT_GOAL"", ""tags_extracted"": [""project"", ""goal""]}","[""default_action:ask"", ""domain_type:project_spec"", ""kind:expand_policy_profile"", ""missing_input_type:goal"", ""policy_id:AP_PROJECT_GOAL""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_GOAL,2
ATOM:expand_policy_prompt_compiler_gardenier:MISSING_INPUT:AP_PROJECT_GOAL,pattern,missing_input_type,goal,"{""missing_input_type"": ""goal"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_GOAL""}","[""kind:missing_input_type"", ""parent:AP_PROJECT_GOAL""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_GOAL,2
ATOM:expand_policy_prompt_compiler_gardenier:ACTION:AP_PROJECT_GOAL,rule,default_action,ask,"{""default_action"": ""ask"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_GOAL""}","[""kind:default_action"", ""parent:AP_PROJECT_GOAL""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_GOAL,2
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_GOAL:01,pattern,tag,project,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_GOAL"", ""tag"": ""project""}","[""kind:tag"", ""parent:AP_PROJECT_GOAL""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_GOAL,2
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_GOAL:02,pattern,tag,goal,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_GOAL"", ""tag"": ""goal""}","[""kind:tag"", ""parent:AP_PROJECT_GOAL""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_GOAL,2
ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_AUDIENCE,rule,expand_policy_profile,AP_PROJECT_AUDIENCE,"{""default_action"": ""minimal_safe_default"", ""default_value"": ""\""General stakeholder audience\"""", ""domain_type"": ""project_spec"", ""missing_input_type"": ""audience"", ""notes_raw"": ""\""Default audience if unspecified. tags:project,audience\"""", ""policy_id"": ""AP_PROJECT_AUDIENCE"", ""tags_extracted"": [""project"", ""audience""]}","[""default_action:minimal_safe_default"", ""domain_type:project_spec"", ""kind:expand_policy_profile"", ""missing_input_type:audience"", ""policy_id:AP_PROJECT_AUDIENCE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_AUDIENCE,3
ATOM:expand_policy_prompt_compiler_gardenier:MISSING_INPUT:AP_PROJECT_AUDIENCE,pattern,missing_input_type,audience,"{""missing_input_type"": ""audience"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_AUDIENCE""}","[""kind:missing_input_type"", ""parent:AP_PROJECT_AUDIENCE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_AUDIENCE,3
ATOM:expand_policy_prompt_compiler_gardenier:ACTION:AP_PROJECT_AUDIENCE,rule,default_action,minimal_safe_default,"{""default_action"": ""minimal_safe_default"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_AUDIENCE""}","[""kind:default_action"", ""parent:AP_PROJECT_AUDIENCE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_AUDIENCE,3
ATOM:expand_policy_prompt_compiler_gardenier:DEFAULT_VALUE:AP_PROJECT_AUDIENCE,value,default_value,"""General stakeholder audience""","{""default_value"": ""\""General stakeholder audience\"""", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_AUDIENCE""}","[""kind:default_value"", ""parent:AP_PROJECT_AUDIENCE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_AUDIENCE,3
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_AUDIENCE:01,pattern,tag,project,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_AUDIENCE"", ""tag"": ""project""}","[""kind:tag"", ""parent:AP_PROJECT_AUDIENCE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_AUDIENCE,3
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_AUDIENCE:02,pattern,tag,audience,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_AUDIENCE"", ""tag"": ""audience""}","[""kind:tag"", ""parent:AP_PROJECT_AUDIENCE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_AUDIENCE,3
ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SCOPE,rule,expand_policy_profile,AP_PROJECT_SCOPE,"{""default_action"": ""minimal_safe_default"", ""default_value"": ""\""Single product/workstream scope; exclude unrelated systems\"""", ""domain_type"": ""project_spec"", ""missing_input_type"": ""scope"", ""notes_raw"": ""\""Bound scope to prevent sprawl. tags:project,scope\"""", ""policy_id"": ""AP_PROJECT_SCOPE"", ""tags_extracted"": [""project"", ""scope""]}","[""default_action:minimal_safe_default"", ""domain_type:project_spec"", ""kind:expand_policy_profile"", ""missing_input_type:scope"", ""policy_id:AP_PROJECT_SCOPE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SCOPE,4
ATOM:expand_policy_prompt_compiler_gardenier:MISSING_INPUT:AP_PROJECT_SCOPE,pattern,missing_input_type,scope,"{""missing_input_type"": ""scope"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SCOPE""}","[""kind:missing_input_type"", ""parent:AP_PROJECT_SCOPE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SCOPE,4
ATOM:expand_policy_prompt_compiler_gardenier:ACTION:AP_PROJECT_SCOPE,rule,default_action,minimal_safe_default,"{""default_action"": ""minimal_safe_default"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SCOPE""}","[""kind:default_action"", ""parent:AP_PROJECT_SCOPE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SCOPE,4
ATOM:expand_policy_prompt_compiler_gardenier:DEFAULT_VALUE:AP_PROJECT_SCOPE,value,default_value,"""Single product/workstream scope; exclude unrelated systems""","{""default_value"": ""\""Single product/workstream scope; exclude unrelated systems\"""", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SCOPE""}","[""kind:default_value"", ""parent:AP_PROJECT_SCOPE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SCOPE,4
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_SCOPE:01,pattern,tag,project,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SCOPE"", ""tag"": ""project""}","[""kind:tag"", ""parent:AP_PROJECT_SCOPE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SCOPE,4
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_SCOPE:02,pattern,tag,scope,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SCOPE"", ""tag"": ""scope""}","[""kind:tag"", ""parent:AP_PROJECT_SCOPE""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SCOPE,4
ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_USERS,rule,expand_policy_profile,AP_PROJECT_USERS,"{""default_action"": ""minimal_safe_default"", ""default_value"": ""\""End users and internal operators\"""", ""domain_type"": ""project_spec"", ""missing_input_type"": ""users"", ""notes_raw"": ""\""Assume at least these user groups. tags:project,users\"""", ""policy_id"": ""AP_PROJECT_USERS"", ""tags_extracted"": [""project"", ""users""]}","[""default_action:minimal_safe_default"", ""domain_type:project_spec"", ""kind:expand_policy_profile"", ""missing_input_type:users"", ""policy_id:AP_PROJECT_USERS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_USERS,5
ATOM:expand_policy_prompt_compiler_gardenier:MISSING_INPUT:AP_PROJECT_USERS,pattern,missing_input_type,users,"{""missing_input_type"": ""users"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_USERS""}","[""kind:missing_input_type"", ""parent:AP_PROJECT_USERS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_USERS,5
ATOM:expand_policy_prompt_compiler_gardenier:ACTION:AP_PROJECT_USERS,rule,default_action,minimal_safe_default,"{""default_action"": ""minimal_safe_default"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_USERS""}","[""kind:default_action"", ""parent:AP_PROJECT_USERS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_USERS,5
ATOM:expand_policy_prompt_compiler_gardenier:DEFAULT_VALUE:AP_PROJECT_USERS,value,default_value,"""End users and internal operators""","{""default_value"": ""\""End users and internal operators\"""", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_USERS""}","[""kind:default_value"", ""parent:AP_PROJECT_USERS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_USERS,5
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_USERS:01,pattern,tag,project,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_USERS"", ""tag"": ""project""}","[""kind:tag"", ""parent:AP_PROJECT_USERS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_USERS,5
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_USERS:02,pattern,tag,users,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_USERS"", ""tag"": ""users""}","[""kind:tag"", ""parent:AP_PROJECT_USERS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_USERS,5
ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SUCCESS_METRICS,rule,expand_policy_profile,AP_PROJECT_SUCCESS_METRICS,"{""default_action"": ""ask"", ""default_value"": """", ""domain_type"": ""project_spec"", ""missing_input_type"": ""success_metrics"", ""notes_raw"": ""\""Ask for 3 measurable success metrics. tags:project,metrics\"""", ""policy_id"": ""AP_PROJECT_SUCCESS_METRICS"", ""tags_extracted"": [""project"", ""metrics""]}","[""default_action:ask"", ""domain_type:project_spec"", ""kind:expand_policy_profile"", ""missing_input_type:success_metrics"", ""policy_id:AP_PROJECT_SUCCESS_METRICS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SUCCESS_METRICS,6
ATOM:expand_policy_prompt_compiler_gardenier:MISSING_INPUT:AP_PROJECT_SUCCESS_METRICS,pattern,missing_input_type,success_metrics,"{""missing_input_type"": ""success_metrics"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SUCCESS_METRICS""}","[""kind:missing_input_type"", ""parent:AP_PROJECT_SUCCESS_METRICS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SUCCESS_METRICS,6
ATOM:expand_policy_prompt_compiler_gardenier:ACTION:AP_PROJECT_SUCCESS_METRICS,rule,default_action,ask,"{""default_action"": ""ask"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SUCCESS_METRICS""}","[""kind:default_action"", ""parent:AP_PROJECT_SUCCESS_METRICS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SUCCESS_METRICS,6
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_SUCCESS_METRICS:01,pattern,tag,project,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SUCCESS_METRICS"", ""tag"": ""project""}","[""kind:tag"", ""parent:AP_PROJECT_SUCCESS_METRICS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SUCCESS_METRICS,6
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_SUCCESS_METRICS:02,pattern,tag,metrics,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_SUCCESS_METRICS"", ""tag"": ""metrics""}","[""kind:tag"", ""parent:AP_PROJECT_SUCCESS_METRICS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_SUCCESS_METRICS,6
ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_NON_GOALS,rule,expand_policy_profile,AP_PROJECT_NON_GOALS,"{""default_action"": ""minimal_safe_default"", ""default_value"": ""\""Include explicit non-goals/out-of-scope list\"""", ""domain_type"": ""project_spec"", ""missing_input_type"": ""non_goals"", ""notes_raw"": ""\""Insert placeholder if missing. tags:project,non_goals\"""", ""policy_id"": ""AP_PROJECT_NON_GOALS"", ""tags_extracted"": [""project"", ""non_goals""]}","[""default_action:minimal_safe_default"", ""domain_type:project_spec"", ""kind:expand_policy_profile"", ""missing_input_type:non_goals"", ""policy_id:AP_PROJECT_NON_GOALS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_NON_GOALS,7
ATOM:expand_policy_prompt_compiler_gardenier:MISSING_INPUT:AP_PROJECT_NON_GOALS,pattern,missing_input_type,non_goals,"{""missing_input_type"": ""non_goals"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_NON_GOALS""}","[""kind:missing_input_type"", ""parent:AP_PROJECT_NON_GOALS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_NON_GOALS,7
ATOM:expand_policy_prompt_compiler_gardenier:ACTION:AP_PROJECT_NON_GOALS,rule,default_action,minimal_safe_default,"{""default_action"": ""minimal_safe_default"", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_NON_GOALS""}","[""kind:default_action"", ""parent:AP_PROJECT_NON_GOALS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_NON_GOALS,7
ATOM:expand_policy_prompt_compiler_gardenier:DEFAULT_VALUE:AP_PROJECT_NON_GOALS,value,default_value,"""Include explicit non-goals/out-of-scope list""","{""default_value"": ""\""Include explicit non-goals/out-of-scope list\"""", ""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_NON_GOALS""}","[""kind:default_value"", ""parent:AP_PROJECT_NON_GOALS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_NON_GOALS,7
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_NON_GOALS:01,pattern,tag,project,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_NON_GOALS"", ""tag"": ""project""}","[""kind:tag"", ""parent:AP_PROJECT_NON_GOALS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_NON_GOALS,7
ATOM:expand_policy_prompt_compiler_gardenier:TAG:AP_PROJECT_NON_GOALS:02,pattern,tag,non_goals,"{""parent"": ""ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_NON_GOALS"", ""tag"": ""non_goals""}","[""kind:tag"", ""parent:AP_PROJECT_NON_GOALS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_NON_GOALS,7
ATOM:expand_policy_prompt_compiler_gardenier:PROFILE:AP_PROJECT_CONSTRAINTS,rule,expand_policy_profile,AP_PROJECT_CONSTRAINTS,"{""default_action"": ""minimal_safe_default"", ""default_value"": ""\""No invented facts; flag unknowns; preserve user constraints\"""", ""domain_type"": ""project_spec"", ""missing_input_type"": ""constraints"", ""notes_raw"": ""\""Baseline constraints for specs. tags:project,constraints\"""", ""policy_id"": ""AP_PROJECT_CONSTRAINTS"", ""tags_extracted"": [""project"", ""constraints""]}","[""default_action:minimal_safe_default"", ""domain_type:project_spec"", ""kind:expand_policy_profile"", ""missing_input_type:constraints"", ""policy_id:AP_PROJECT_CONSTRAINTS""]",expand_policy_prompt_compiler_gardenier,AP_PROJECT_CONSTRAINTS,8
