atom_id,atom_category,atom_type,primary_value,attributes_json,tags_json,source_dataset_id,source_row_id,source_line_no
ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001,rule,tone_profile,Clear Practical,"{""certainty_calibration"": ""\""\""state assumptions; flag unknowns\""\"""", ""do_list"": ""\""\""use short sentences; give next actions; define terms once\""\"""", ""domain_type"": ""ALL"", ""dont_list"": ""\""\""no fluff; no overpromising; no vague praise\""\"""", ""formatting"": ""\""\""headings + bullets; 1 blank line between sections\""\"""", ""raw_line"": ""TP-001,ALL,Clear Practical,\""\""\""clear\"",practical,\""direct\""\""\"",\""\""\""use short sentences; give next actions; define terms once\""\""\"",\""\""\""no fluff; no overpromising; no vague praise\""\""\"",\""\""\""headings + bullets; 1 blank line between sections\""\""\"",medium,\""\""\""state assumptions; flag unknowns\""\""\"",low"", ""risk_baseline"": ""low"", ""tone_id"": ""TP-001"", ""tone_name"": ""Clear Practical"", ""verbosity"": ""medium"", ""voice_keywords"": ""\""\""clear\"",practical,\""direct\""\""""}","[""domain_type:ALL"", ""kind:profile"", ""risk:low"", ""tone_id:TP-001"", ""tone_name:Clear Practical"", ""verbosity:medium""]",validation_rules_prompt_compiler_gardenier,TP-001,2
ATOM:validation_rules_prompt_compiler_gardenier:KEYWORD:TP-001:01,pattern,voice_keyword,clear,"{""field"": ""voice_keywords"", ""parent"": ""ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001""}","[""kind:voice_keyword"", ""parent:TP-001""]",validation_rules_prompt_compiler_gardenier,TP-001,2
ATOM:validation_rules_prompt_compiler_gardenier:KEYWORD:TP-001:02,pattern,voice_keyword,practical,"{""field"": ""voice_keywords"", ""parent"": ""ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001""}","[""kind:voice_keyword"", ""parent:TP-001""]",validation_rules_prompt_compiler_gardenier,TP-001,2
ATOM:validation_rules_prompt_compiler_gardenier:KEYWORD:TP-001:03,pattern,voice_keyword,direct,"{""field"": ""voice_keywords"", ""parent"": ""ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001""}","[""kind:voice_keyword"", ""parent:TP-001""]",validation_rules_prompt_compiler_gardenier,TP-001,2
ATOM:validation_rules_prompt_compiler_gardenier:DO:TP-001:01,rule,directive,use short sentences,"{""field"": ""do_list"", ""parent"": ""ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001"", ""polarity"": ""do""}","[""kind:directive"", ""parent:TP-001"", ""polarity:do""]",validation_rules_prompt_compiler_gardenier,TP-001,2
ATOM:validation_rules_prompt_compiler_gardenier:DO:TP-001:02,rule,directive,give next actions,"{""field"": ""do_list"", ""parent"": ""ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001"", ""polarity"": ""do""}","[""kind:directive"", ""parent:TP-001"", ""polarity:do""]",validation_rules_prompt_compiler_gardenier,TP-001,2
ATOM:validation_rules_prompt_compiler_gardenier:DO:TP-001:03,rule,directive,define terms once,"{""field"": ""do_list"", ""parent"": ""ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001"", ""polarity"": ""do""}","[""kind:directive"", ""parent:TP-001"", ""polarity:do""]",validation_rules_prompt_compiler_gardenier,TP-001,2
ATOM:validation_rules_prompt_compiler_gardenier:DONT:TP-001:01,rule,directive,no fluff,"{""field"": ""dont_list"", ""parent"": ""ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001"", ""polarity"": ""dont""}","[""kind:directive"", ""parent:TP-001"", ""polarity:dont""]",validation_rules_prompt_compiler_gardenier,TP-001,2
ATOM:validation_rules_prompt_compiler_gardenier:DONT:TP-001:02,rule,directive,no overpromising,"{""field"": ""dont_list"", ""parent"": ""ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001"", ""polarity"": ""dont""}","[""kind:directive"", ""parent:TP-001"", ""polarity:dont""]",validation_rules_prompt_compiler_gardenier,TP-001,2
ATOM:validation_rules_prompt_compiler_gardenier:DONT:TP-001:03,rule,directive,no vague praise,"{""field"": ""dont_list"", ""parent"": ""ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001"", ""polarity"": ""dont""}","[""kind:directive"", ""parent:TP-001"", ""polarity:dont""]",validation_rules_prompt_compiler_gardenier,TP-001,2
