atom_id,atom_category,atom_type,primary_value,attributes_json,tags_json,source_dataset_id,source_row_id,source_line_no
ATOM:command_mode_prompt_compiler:PROFILE:/route,rule,command_profile,Domain Router,"{""aliases"": ""\""domain routing"", ""category"": ""No tool-usage/execution claims"", ""command"": ""/route"", ""description"": ""Classify seed into a domain_type and select a default template,First step before compilation,routing_decision"", ""intended_use"": ""route"", ""mode_name"": ""Domain"", ""output_type"": ""routing"", ""parse_reconstructed_from_len"": 13, ""phase"": ""/detect"", ""rag_keywords"": ""domain_type\"""", ""raw_line"": ""/route,Domain,Domain Router,Classify seed into a domain_type and select a default template,First step before compilation,routing_decision,route,routing,\""\""\""/detect\""\""\"",No tool-usage/execution claims,\""\""\""domain routing\"",template selection,\""domain_type\""\""\"""", ""safety_note"": ""template selection"", ""short_label"": ""Domain Router""}","[""category:No tool-usage/execution claims"", ""command:/route"", ""kind:command_profile"", ""mode_name:Domain"", ""output_type:routing"", ""phase:/detect""]",command_mode_prompt_compiler,/route,2
ATOM:command_mode_prompt_compiler:ALIAS:/route:01,pattern,alias,"""domain routing","{""alias"": ""\""domain routing"", ""parent"": ""ATOM:command_mode_prompt_compiler:PROFILE:/route""}","[""kind:alias"", ""parent:/route""]",command_mode_prompt_compiler,/route,2
ATOM:command_mode_prompt_compiler:RAGKW:/route:01,pattern,rag_keyword,"domain_type""","{""parent"": ""ATOM:command_mode_prompt_compiler:PROFILE:/route"", ""rag_keyword"": ""domain_type\""""}","[""kind:rag_keyword"", ""parent:/route""]",command_mode_prompt_compiler,/route,2
ATOM:command_mode_prompt_compiler:SAFETY:/route,rule,safety_note,template selection,"{""parent"": ""ATOM:command_mode_prompt_compiler:PROFILE:/route"", ""safety_note"": ""template selection""}","[""kind:safety_note"", ""parent:/route""]",command_mode_prompt_compiler,/route,2
ATOM:command_mode_prompt_compiler:PHASE:/route,value,phase,/detect,"{""parent"": ""ATOM:command_mode_prompt_compiler:PROFILE:/route"", ""phase"": ""/detect""}","[""kind:phase"", ""parent:/route""]",command_mode_prompt_compiler,/route,2
ATOM:command_mode_prompt_compiler:CATEGORY:/route,value,category,No tool-usage/execution claims,"{""category"": ""No tool-usage/execution claims"", ""parent"": ""ATOM:command_mode_prompt_compiler:PROFILE:/route""}","[""kind:category"", ""parent:/route""]",command_mode_prompt_compiler,/route,2
ATOM:command_mode_prompt_compiler:OUTPUT_TYPE:/route,value,output_type,routing,"{""output_type"": ""routing"", ""parent"": ""ATOM:command_mode_prompt_compiler:PROFILE:/route""}","[""kind:output_type"", ""parent:/route""]",command_mode_prompt_compiler,/route,2
ATOM:command_mode_prompt_compiler:PROFILE:/compile,rule,command_profile,Compiler,"{""aliases"": ""\""SPO"", ""category"": ""No invented facts; respect constraints"", ""command"": ""/compile"", ""description"": ""Generate a full SPO using selected template + rules,Main compile path,SPO"", ""intended_use"": ""compile"", ""mode_name"": ""Compiler"", ""output_type"": ""compiler"", ""parse_reconstructed_from_len"": 13, ""phase"": ""/canon"", ""rag_keywords"": ""template rules\"""", ""raw_line"": ""/compile,Compiler,Compiler,Generate a full SPO using selected template + rules,Main compile path,SPO,compile,compiler,\""\""\""/canon\""\""\"",No invented facts; respect constraints,\""\""\""SPO\"",compiler,\""template rules\""\""\"""", ""safety_note"": ""compiler"", ""short_label"": ""Compiler""}","[""category:No invented facts; respect constraints"", ""command:/compile"", ""kind:command_profile"", ""mode_name:Compiler"", ""output_type:compiler"", ""phase:/canon""]",command_mode_prompt_compiler,/compile,3
ATOM:command_mode_prompt_compiler:ALIAS:/compile:01,pattern,alias,"""SPO","{""alias"": ""\""SPO"", ""parent"": ""ATOM:command_mode_prompt_compiler:PROFILE:/compile""}","[""kind:alias"", ""parent:/compile""]",command_mode_prompt_compiler,/compile,3
ATOM:command_mode_prompt_compiler:RAGKW:/compile:01,pattern,rag_keyword,"template rules""","{""parent"": ""ATOM:command_mode_prompt_compiler:PROFILE:/compile"", ""rag_keyword"": ""template rules\""""}","[""kind:rag_keyword"", ""parent:/compile""]",command_mode_prompt_compiler,/compile,3
