atom_id,atom_category,atom_type,primary_value,attributes_json,tags_json,source_dataset_id,source_row_id,source_line_no
ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-001,rule,latent_constraint_profile,LCS-001,"{""domain_type"": ""engineering"", ""raw_line"": ""LCS-001,engineering,format,User mentions “API”,“stack trace”,or “logs”,Add Inputs Required: repo/snippet/logs and environment details,medium"", ""recommended_action"": ""Add Inputs Required: repo/snippet/logs and environment details"", ""severity"": ""medium"", ""signal_id"": ""LCS-001"", ""signal_type"": ""format"", ""trigger_hint"": ""User mentions “API”,“stack trace”,or “logs”""}","[""domain_type:engineering"", ""kind:latent_constraint_signal"", ""severity:medium"", ""signal_id:LCS-001"", ""signal_type:format""]",latent_costraints_prompt_compiler_gardenier,LCS-001,2
ATOM:latent_costraints_prompt_compiler_gardenier:SIGNAL_TYPE:LCS-001,pattern,signal_type,format,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-001"", ""signal_type"": ""format""}","[""kind:signal_type"", ""parent:LCS-001""]",latent_costraints_prompt_compiler_gardenier,LCS-001,2
ATOM:latent_costraints_prompt_compiler_gardenier:TRIGGER:LCS-001,pattern,trigger_hint,"User mentions “API”,“stack trace”,or “logs”","{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-001"", ""trigger_hint"": ""User mentions “API”,“stack trace”,or “logs”""}","[""kind:trigger_hint"", ""parent:LCS-001""]",latent_costraints_prompt_compiler_gardenier,LCS-001,2
ATOM:latent_costraints_prompt_compiler_gardenier:ACTION:LCS-001,rule,recommended_action,Add Inputs Required: repo/snippet/logs and environment details,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-001"", ""recommended_action"": ""Add Inputs Required: repo/snippet/logs and environment details""}","[""kind:recommended_action"", ""parent:LCS-001""]",latent_costraints_prompt_compiler_gardenier,LCS-001,2
ATOM:latent_costraints_prompt_compiler_gardenier:SEVERITY:LCS-001,value,severity,medium,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-001"", ""severity"": ""medium""}","[""kind:severity"", ""parent:LCS-001""]",latent_costraints_prompt_compiler_gardenier,LCS-001,2
ATOM:latent_costraints_prompt_compiler_gardenier:DOMAIN:LCS-001,value,domain_type,engineering,"{""domain_type"": ""engineering"", ""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-001""}","[""kind:domain_type"", ""parent:LCS-001""]",latent_costraints_prompt_compiler_gardenier,LCS-001,2
ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-002,rule,latent_constraint_profile,LCS-002,"{""domain_type"": ""engineering"", ""raw_line"": ""LCS-002,engineering,constraint,User says “no breaking changes”,Add constraint: preserve public interfaces and behavior,high"", ""recommended_action"": ""Add constraint: preserve public interfaces and behavior"", ""severity"": ""high"", ""signal_id"": ""LCS-002"", ""signal_type"": ""constraint"", ""trigger_hint"": ""User says “no breaking changes”""}","[""domain_type:engineering"", ""kind:latent_constraint_signal"", ""severity:high"", ""signal_id:LCS-002"", ""signal_type:constraint""]",latent_costraints_prompt_compiler_gardenier,LCS-002,3
ATOM:latent_costraints_prompt_compiler_gardenier:SIGNAL_TYPE:LCS-002,pattern,signal_type,constraint,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-002"", ""signal_type"": ""constraint""}","[""kind:signal_type"", ""parent:LCS-002""]",latent_costraints_prompt_compiler_gardenier,LCS-002,3
ATOM:latent_costraints_prompt_compiler_gardenier:TRIGGER:LCS-002,pattern,trigger_hint,User says “no breaking changes”,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-002"", ""trigger_hint"": ""User says “no breaking changes”""}","[""kind:trigger_hint"", ""parent:LCS-002""]",latent_costraints_prompt_compiler_gardenier,LCS-002,3
ATOM:latent_costraints_prompt_compiler_gardenier:ACTION:LCS-002,rule,recommended_action,Add constraint: preserve public interfaces and behavior,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-002"", ""recommended_action"": ""Add constraint: preserve public interfaces and behavior""}","[""kind:recommended_action"", ""parent:LCS-002""]",latent_costraints_prompt_compiler_gardenier,LCS-002,3
ATOM:latent_costraints_prompt_compiler_gardenier:SEVERITY:LCS-002,value,severity,high,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-002"", ""severity"": ""high""}","[""kind:severity"", ""parent:LCS-002""]",latent_costraints_prompt_compiler_gardenier,LCS-002,3
ATOM:latent_costraints_prompt_compiler_gardenier:DOMAIN:LCS-002,value,domain_type,engineering,"{""domain_type"": ""engineering"", ""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-002""}","[""kind:domain_type"", ""parent:LCS-002""]",latent_costraints_prompt_compiler_gardenier,LCS-002,3
ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-003,rule,latent_constraint_profile,LCS-003,"{""domain_type"": ""engineering"", ""raw_line"": ""LCS-003,engineering,constraint,User says “performance issue”,Add directive: profile hypotheses + measurable targets,medium"", ""recommended_action"": ""Add directive: profile hypotheses + measurable targets"", ""severity"": ""medium"", ""signal_id"": ""LCS-003"", ""signal_type"": ""constraint"", ""trigger_hint"": ""User says “performance issue”""}","[""domain_type:engineering"", ""kind:latent_constraint_signal"", ""severity:medium"", ""signal_id:LCS-003"", ""signal_type:constraint""]",latent_costraints_prompt_compiler_gardenier,LCS-003,4
ATOM:latent_costraints_prompt_compiler_gardenier:SIGNAL_TYPE:LCS-003,pattern,signal_type,constraint,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-003"", ""signal_type"": ""constraint""}","[""kind:signal_type"", ""parent:LCS-003""]",latent_costraints_prompt_compiler_gardenier,LCS-003,4
ATOM:latent_costraints_prompt_compiler_gardenier:TRIGGER:LCS-003,pattern,trigger_hint,User says “performance issue”,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-003"", ""trigger_hint"": ""User says “performance issue”""}","[""kind:trigger_hint"", ""parent:LCS-003""]",latent_costraints_prompt_compiler_gardenier,LCS-003,4
ATOM:latent_costraints_prompt_compiler_gardenier:ACTION:LCS-003,rule,recommended_action,Add directive: profile hypotheses + measurable targets,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-003"", ""recommended_action"": ""Add directive: profile hypotheses + measurable targets""}","[""kind:recommended_action"", ""parent:LCS-003""]",latent_costraints_prompt_compiler_gardenier,LCS-003,4
ATOM:latent_costraints_prompt_compiler_gardenier:SEVERITY:LCS-003,value,severity,medium,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-003"", ""severity"": ""medium""}","[""kind:severity"", ""parent:LCS-003""]",latent_costraints_prompt_compiler_gardenier,LCS-003,4
ATOM:latent_costraints_prompt_compiler_gardenier:DOMAIN:LCS-003,value,domain_type,engineering,"{""domain_type"": ""engineering"", ""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-003""}","[""kind:domain_type"", ""parent:LCS-003""]",latent_costraints_prompt_compiler_gardenier,LCS-003,4
ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-004,rule,latent_constraint_profile,LCS-004,"{""domain_type"": ""project_spec"", ""raw_line"": ""LCS-004,project_spec,preference,User says “one-pager”,Set Output Format to 1-page markdown with bullets,low"", ""recommended_action"": ""Set Output Format to 1-page markdown with bullets"", ""severity"": ""low"", ""signal_id"": ""LCS-004"", ""signal_type"": ""preference"", ""trigger_hint"": ""User says “one-pager”""}","[""domain_type:project_spec"", ""kind:latent_constraint_signal"", ""severity:low"", ""signal_id:LCS-004"", ""signal_type:preference""]",latent_costraints_prompt_compiler_gardenier,LCS-004,5
ATOM:latent_costraints_prompt_compiler_gardenier:SIGNAL_TYPE:LCS-004,pattern,signal_type,preference,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-004"", ""signal_type"": ""preference""}","[""kind:signal_type"", ""parent:LCS-004""]",latent_costraints_prompt_compiler_gardenier,LCS-004,5
ATOM:latent_costraints_prompt_compiler_gardenier:TRIGGER:LCS-004,pattern,trigger_hint,User says “one-pager”,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-004"", ""trigger_hint"": ""User says “one-pager”""}","[""kind:trigger_hint"", ""parent:LCS-004""]",latent_costraints_prompt_compiler_gardenier,LCS-004,5
ATOM:latent_costraints_prompt_compiler_gardenier:ACTION:LCS-004,rule,recommended_action,Set Output Format to 1-page markdown with bullets,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-004"", ""recommended_action"": ""Set Output Format to 1-page markdown with bullets""}","[""kind:recommended_action"", ""parent:LCS-004""]",latent_costraints_prompt_compiler_gardenier,LCS-004,5
ATOM:latent_costraints_prompt_compiler_gardenier:SEVERITY:LCS-004,value,severity,low,"{""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-004"", ""severity"": ""low""}","[""kind:severity"", ""parent:LCS-004""]",latent_costraints_prompt_compiler_gardenier,LCS-004,5
ATOM:latent_costraints_prompt_compiler_gardenier:DOMAIN:LCS-004,value,domain_type,project_spec,"{""domain_type"": ""project_spec"", ""parent"": ""ATOM:latent_costraints_prompt_compiler_gardenier:PROFILE:LCS-004""}","[""kind:domain_type"", ""parent:LCS-004""]",latent_costraints_prompt_compiler_gardenier,LCS-004,5
